category,level,question_text,options,correct_answer_index,explanation
Technology,Medium,What component in a modern CPU holds small ultra-fast memory used to reduce access latency to main RAM?,["L1/L2/L3 Cache", "CMOS Battery", "Southbridge", "PCIe Bus"],0,CPU cache memory operates at processor speeds to store frequently accessed data and instructions.
Technology,Medium,In operating systems what is the core program that manages system resources and hardware communications called?,["Shell", "Kernel", "Hypervisor", "Daemon"],1,The kernel is the foundational core of an operating system with complete control over all subsystems.
Technology,Medium,What process occurs when an operating system moves inactive memory pages from RAM to secondary storage?,["Paging / Swapping", "Defragmentation", "Garbage collection", "Overclocking"],0,Paging swaps blocks of memory between physical RAM and virtual storage on a disk drive.
Technology,Medium,What type of firmware initializes hardware during the booting process on modern motherboards replacing legacy BIOS?,["UEFI", "GRUB", "POST", "RAID"],0,Unified Extensible Firmware Interface (UEFI) offers faster boot times and larger partition support than BIOS.
Technology,Medium,What does a 64-bit CPU architecture primarily allow compared to a 32-bit architecture?,["Direct addressing of more than 4 GB of RAM", "Doubled clock speed automatically", "Compatibility only with RISC chips", "Elimination of thermal cooling needs"],0,32-bit architectures are limited to 4 GB (2^32 bytes) of addressable RAM whereas 64-bit addresses vastly larger memory spaces.
Technology,Medium,What technique allows a single physical processor core to execute two concurrent execution threads?,["Simultaneous Multithreading (Hyper-Threading)", "Clock Multiplier", "Direct Memory Access", "Pipelining"],0,Simultaneous Multithreading (SMT) exposes multiple logical cores per physical core to improve instruction pipeline utilization.
Technology,Medium,Which scheduling algorithm allocates a fixed time slice (quantum) to each process in a cyclic order?,["Round Robin", "First-Come First-Served", "Shortest Job First", "Priority Scheduling"],0,Round Robin assigns equal time slices to each active process in a cyclic queue.
Technology,Medium,What is a race condition in concurrent software systems?,["A scenario where output depends on the unpredictable sequence or timing of threads", "A benchmark test between two competing CPUs", "A network packet collision on an Ethernet bus", "A rapid memory leak in a while loop"],0,Race conditions occur when multiple threads access shared state concurrently without proper synchronization.
Technology,Medium,What mechanism prevents multiple processes from accessing a shared resource simultaneously in multithreading?,["Mutex (Mutual Exclusion Lock)", "DMA Controller", "Bus Arbiter", "Thread Pool"],0,A mutex acts as a locking mechanism so that only one thread can access critical sections at a time.
Technology,Medium,What storage configuration uses striping with distributed parity across at least three drives to combine performance and redundancy?,["RAID 0", "RAID 1", "RAID 5", "RAID 10"],2,RAID 5 stripes data and parity blocks across multiple drives surviving the failure of any single disk.
Technology,Medium,At which layer of the OSI model does the Internet Protocol (IP) operate?,["Data Link Layer (Layer 2)", "Network Layer (Layer 3)", "Transport Layer (Layer 4)", "Session Layer (Layer 5)"],1,The Network layer is responsible for packet routing logical addressing and path determination.
Technology,Medium,What is the primary difference between TCP and UDP transport protocols?,["TCP is connection-oriented and reliable while UDP is connectionless and faster", "UDP guarantees in-order packet delivery", "TCP is used exclusively for video streaming", "UDP encrypts data packets natively"],0,TCP uses handshakes and acknowledgments to ensure reliable delivery whereas UDP prioritizes low latency over reliability.
Technology,Medium,What protocol automatically assigns IP addresses and subnet masks to devices joining a network?,["DNS", "DHCP", "ARP", "NAT"],1,Dynamic Host Configuration Protocol (DHCP) dynamically manages and distributes IP addresses to client devices.
Technology,Medium,What protocol maps a known logical IP address to a physical MAC hardware address on a local area network?,["ARP (Address Resolution Protocol)", "DNS", "BGP", "ICMP"],0,ARP resolves IP addresses to physical Layer 2 MAC addresses within a broadcast domain.
Technology,Medium,What utility sends ICMP Echo Request packets to test network reachability and measure round-trip time?,["Traceroute", "Ping", "Netstat", "Nmap"],1,Ping uses ICMP echo requests to determine if a destination host is reachable and measures latency.
Technology,Medium,What technology allows multiple private IP addresses to share a single public IP address when accessing the internet?,["NAT (Network Address Translation)", "VLAN", "VPN", "QoS"],0,NAT modifies network address information in IP packet headers while in transit across a traffic routing device.
Technology,Medium,Which TCP port is the standard default port for secure HTTPS web traffic?,["80", "443", "8080", "22"],1,Port 443 is the universally assigned default port for HTTPS encrypted web traffic.
Technology,Medium,What DNS record type maps a domain name directly to an IPv4 address?,["CNAME record", "A record", "MX record", "AAAA record"],1,An 'A' record points a domain name to its corresponding 32-bit IPv4 address.
Technology,Medium,What DNS record type maps an alias domain name to another canonical domain name?,["A record", "CNAME record", "TXT record", "NS record"],1,Canonical Name (CNAME) records alias one domain name to another canonical domain name.
Technology,Medium,What networking tool divides a single physical local area network into multiple isolated logical broadcast domains?,["VLAN (Virtual Local Area Network)", "Subnet Mask", "Proxy Server", "Hub"],0,VLANs partition physical network switches into distinct logical broadcast domains for traffic isolation.
Technology,Medium,What is the average time complexity of searching for an element in a balanced Binary Search Tree (BST)?,["O(1)", "O(log n)", "O(n)", "O(n log n)"],1,Balanced BSTs (such as AVL or Red-Black trees) halve the search space at each level achieving O(log n) lookup.
Technology,Medium,What data structure operates on a First-In First-Out (FIFO) principle?,["Stack", "Queue", "Binary Tree", "Heap"],1,A Queue enforces FIFO ordering where the first element inserted is the first element removed.
Technology,Medium,What data structure operates on a Last-In First-Out (LIFO) principle?,["Stack", "Queue", "Linked List", "Hash Map"],0,A Stack enforces LIFO ordering where the most recently added item is popped first.
Technology,Medium,What sorting algorithm has an average time complexity of O(n log n) and works by repeatedly partitioning an array around a pivot?,["Bubble Sort", "Quick Sort", "Insertion Sort", "Selection Sort"],1,Quick Sort selects a pivot element and partitions sub-arrays recursively to sort elements in O(n log n) average time.
Technology,Medium,What is the worst-case time complexity of standard Bubble Sort on an unsorted array of n elements?,["O(log n)", "O(n)", "O(n log n)", "O(n²)"],3,Bubble Sort performs nested comparisons across adjacent elements resulting in O(n²) worst-case comparisons.
Technology,Medium,What hash collision resolution technique stores colliding elements in a linked list at the same hash bucket index?,["Open Addressing", "Linear Probing", "Separate Chaining", "Double Hashing"],2,Separate chaining maintains a linked list or bucket of all key-value entries that hash to the same index.
Technology,Medium,Which graph traversal algorithm explores neighbors level-by-level using a queue data structure?,["Breadth-First Search (BFS)", "Depth-First Search (DFS)", "Dijkstra's Algorithm", "Kruskal's Algorithm"],0,BFS visits vertices in increasing order of distance from the source vertex using a queue.
Technology,Medium,What algorithm finds the shortest path between nodes in a weighted graph with non-negative edge weights?,["Dijkstra's Algorithm", "Prim's Algorithm", "Floyd-Warshall Algorithm", "Bellman-Ford Algorithm"],0,Dijkstra's algorithm uses a priority queue to iteratively find the shortest path tree from a single source node.
Technology,Medium,What algorithmic technique solves complex optimization problems by breaking them into overlapping subproblems with memoization?,["Greedy Algorithm", "Dynamic Programming", "Divide and Conquer", "Backtracking"],1,Dynamic Programming caches solutions to overlapping subproblems to avoid redundant calculations.
Technology,Medium,What is the worst-case time complexity of finding an item in an unsorted array of size n via linear search?,["O(1)", "O(log n)", "O(n)", "O(n²)"],2,Linear search must inspect every element sequentially in the worst case giving O(n) complexity.
Technology,Medium,In relational database systems what property does the 'A' in ACID transactions stand for?,["Atomicity", "Availability", "Authentication", "Asynchrony"],0,Atomicity ensures that all operations in a database transaction succeed or the entire transaction is rolled back.
Technology,Medium,What SQL clause is used to filter aggregated group records created by a GROUP BY statement?,["WHERE", "HAVING", "ORDER BY", "LIMIT"],1,The HAVING clause applies filtering conditions to groups created by GROUP BY unlike WHERE which filters individual rows.
Technology,Medium,What type of SQL join returns all rows from the left table and matching rows from the right table?,["INNER JOIN", "LEFT JOIN (LEFT OUTER JOIN)", "RIGHT JOIN", "FULL OUTER JOIN"],1,A LEFT JOIN returns all records from the left table and populated values or NULLs from the right table.
Technology,Medium,What database indexing data structure is most commonly used by relational databases for fast range queries?,["B-Tree / B+ Tree", "Hash Table", "Trie", "Splay Tree"],0,B+ Trees maintain sorted keys across balanced multi-way tree nodes providing efficient disk-based range lookups.
Technology,Medium,What is the primary characteristic of NoSQL document stores like MongoDB?,["They store data in fixed SQL tables with strict relational schemas", "They store semi-structured data in JSON/BSON document formats", "They do not support network clustering", "They can only be queried using C programming"],1,Document stores persist semi-structured data hierarchies in document formats without fixed table schemas.
Technology,Medium,What database normal form removes partial dependencies by ensuring non-key attributes depend on the entire primary key?,["First Normal Form (1NF)", "Second Normal Form (2NF)", "Third Normal Form (3NF)", "Boyce-Codd Normal Form (BCNF)"],1,2NF requires 1NF compliance and mandates that all non-prime attributes be fully functionally dependent on the primary key.
