category,level,question_text,options,correct_answer_index,explanation
General Knowledge,Easy,What is the largest living mammal on Earth?,["African Elephant", "Blue Whale", "Giraffe", "Hippopotamus"],1,The blue whale is the largest known animal to have ever lived reaching lengths of up to 30 meters.
General Knowledge,Easy,Which animal is known as the 'Ship of the Desert'?,["Horse", "Camel", "Donkey", "Llama"],1,Camels are adapted to arid desert environments and have historically transported people and goods across deserts.
General Knowledge,Easy,What is the fastest land animal in the world?,["Lion", "Cheetah", "Gazelle", "Leopard"],1,The cheetah can reach sprinting speeds between 100 and 120 km/h (60 to 75 mph).
General Knowledge,Easy,Which bird is famous for its ability to mimic human speech?,["Parrot", "Eagle", "Penguin", "Falcon"],0,Many parrot species can accurately imitate spoken words and ambient sounds.
General Knowledge,Easy,How many legs does a spider have?,["6", "8", "10", "12"],1,Spiders are arachnids and typically have eight walking legs.
General Knowledge,Easy,What type of animal is a Komodo dragon?,["Mammal", "Lizard (Reptile)", "Amphibian", "Bird"],1,The Komodo dragon is the largest living species of lizard native to Indonesian islands.
General Knowledge,Easy,Which is the only mammal capable of true sustained flight?,["Flying Squirrel", "Bat", "Sugar Glider", "Colugo"],1,Bats possess webbed wings that allow them to sustain powered flight unlike gliding mammals.
General Knowledge,Easy,What food makes up nearly the entire diet of a wild Giant Panda?,["Eucalyptus leaves", "Bamboo", "Fish", "Berries"],1,Bamboo makes up over 99% of a giant panda's daily food consumption.
General Knowledge,Easy,What is a group of lions commonly called?,["Pack", "Pride", "Flock", "Herd"],1,A social family group of lions is known as a pride.
General Knowledge,Easy,What is the largest living bird species in the world?,["Emu", "Ostrich", "Albatross", "Cassowary"],1,The common ostrich of Africa is the heaviest and tallest living bird species.
General Knowledge,Easy,Who wrote the classic play 'Romeo and Juliet'?,["Charles Dickens", "William Shakespeare", "Jane Austen", "Mark Twain"],1,William Shakespeare wrote the tragic romance 'Romeo and Juliet' in the late 16th century.
