category,level,question_text,options,correct_answer_index,explanation
Technology,Hard,In Linux kernel memory management what mechanism allocates physically contiguous memory blocks in powers of two to minimize external fragmentation?,["Buddy Memory Allocation System", "Slab Allocator", "Virtual Memory Area (VMA)", "Page Table Isolation"],0,The buddy memory allocation system groups page frames into blocks of powers of two to minimize external memory fragmentation.
Technology,Hard,In the Slab allocator what is the primary purpose of object caching?,["To reduce the overhead of initializing and destroying frequently used kernel objects", "To compress swap space on physical disk drives", "To encrypt user-space memory buffers", "To execute interrupt service routines asynchronously"],0,The slab allocator preserves initialized states of kernel objects to avoid repeatedly allocating and freeing them.
Technology,Hard,What condition causes the Priority Inversion problem in real-time preemptive operating systems?,["A low-priority task holds a shared resource required by a high-priority task while being preempted by a medium-priority task", "Two high-priority tasks execute in an infinite loop", "A thread blocks on an uninitialized mutex variable", "The kernel scheduler runs out of time slices"],0,Priority inversion occurs when a medium-priority thread preempts a low-priority thread holding a lock that a high-priority thread is waiting on.
Technology,Hard,Which synchronization protocol solves the unbounded priority inversion problem by temporarily elevating the lock holder's priority?,["Priority Ceiling / Priority Inheritance Protocol", "Peterson's Algorithm", "Bakery Algorithm", "Dekker's Algorithm"],0,Priority inheritance elevates the priority of the lock-holding thread to match the highest priority among waiting threads.
Technology,Hard,In x86-64 page translation how many levels of page tables are standard in a 4-level paging scheme?,["2 levels", "3 levels", "4 levels (PML4 PDPT PD PT)", "5 levels only"],2,Standard 4-level paging uses Page Map Level 4 Page Directory Pointer Table Page Directory and Page Table.
Technology,Hard,What hardware component caches recent virtual-to-physical address translations to accelerate memory access?,["Translation Lookaside Buffer (TLB)", "Instruction Pipeline Latch", "Branch Target Buffer (BTB)", "Memory Management Register (MMR)"],0,The TLB is an associative memory cache in the MMU storing recently resolved virtual-to-physical address mappings.
Technology,Hard,What Linux kernel mechanism allows executing user-space filter bytecode inside the kernel for high-performance tracing and network filtering?,["eBPF (Extended Berkeley Packet Filter)", "cgroups v2", "AppArmor", "Kernel Modules (LKM)"],0,eBPF runs verified sandboxed bytecode within the Linux kernel to trace monitor and filter network packets safely.
Technology,Hard,In distributed transactions what protocol guarantees atomic commit across multiple nodes despite possible network partitions?,["Two-Phase Commit (2PC) / Three-Phase Commit (3PC)", "Raft consensus election", "Gossip protocol", "Paxos state replication"],0,Two-Phase Commit coordinates prepare and commit phases across participating database nodes to ensure atomicity.
Technology,Hard,What concurrency control phenomenon describes a situation where two threads continuously change states in response to each other without making progress?,["Deadlock", "Livelock", "Starvation", "Race condition"],1,Livelock occurs when active processes change state in reaction to each other without progressing toward completion.
Technology,Hard,In Linux process isolation which feature limits and meters resource utilization (CPU memory disk I/O) for containerized processes?,["Linux Namespaces", "Control Groups (cgroups)", "Chroot jail", "Seccomp filters"],1,Control Groups allocate constrain and monitor system resources among process hierarchies.
Technology,Hard,What path-vector protocol manages routing decisions between Autonomous Systems (AS) across the global Internet backbone?,["OSPF", "BGP (Border Gateway Protocol)", "RIP", "IS-IS"],1,BGP is the exterior gateway protocol that coordinates routing across autonomous systems on the Internet.
Technology,Hard,In TCP congestion control what algorithm uses packet loss as an explicit signal to halve the congestion window size?,["TCP Reno / Tahoe (AIMD)", "TCP BBR", "TCP Vegas", "CUBIC scaling"],0,Additive Increase Multiplicative Decrease halves the congestion window upon packet loss detection in classic TCP Reno.
Technology,Hard,How does Google's TCP BBR (Bottleneck Bandwidth and RTT) congestion control algorithm differ from loss-based algorithms?,["It models the network's maximum delivery rate and minimum round-trip time rather than reacting to packet drops", "It increases window size indefinitely until timeouts occur", "It disables sliding windows entirely", "It requires hardware-level optical switches"],0,BBR estimates actual bottleneck bandwidth and round-trip propagation time to prevent bufferbloat and packet drops.
Technology,Hard,What protocol encapsulates Layer 2 Ethernet frames inside Layer 4 UDP packets to scale virtual networks in cloud data centers?,["VXLAN (Virtual Extensible LAN)", "GRE Tunneling", "IPsec Transport Mode", "MPLS"],0,VXLAN creates Layer 2 overlay networks over Layer 3 infrastructure by encapsulating MAC frames in UDP packets.
Technology,Hard,In the Raft consensus algorithm what mechanism prevents two leader candidates from splitting votes indefinitely?,["Randomized election timeouts", "Heartbeat pre-emption", "Strict round-robin token passing", "Static leader pre-selection"],0,Raft uses randomized election timeouts across nodes to reduce the probability of split votes during leader election.
Technology,Hard,According to the CAP theorem in distributed systems what properties must a partitioned distributed data store choose between?,["Consistency and Availability", "Concurrency and Atomicity", "Performance and Durability", "Throughput and Latency"],0,When a network partition occurs a distributed system must compromise between strong consistency or availability.
Technology,Hard,What routing metric does OSPF (Open Shortest Path First) use to compute shortest path trees via Dijkstra's algorithm?,["Hop count", "Cost (inversely proportional to interface bandwidth)", "BGP AS-Path length", "Packet loss ratio"],1,OSPF assigns link cost based on interface bandwidth (Cost = Reference Bandwidth / Interface Bandwidth).
Technology,Hard,What cryptographic feature does TLS 1.3 mandate to ensure that compromised long-term private keys cannot decrypt past recorded sessions?,["Ephemeral Diffie-Hellman Key Exchange (Forward Secrecy)", "Static RSA Key Exchange", "Pre-Shared Symmetric Tokens", "DES Cipher Suite Chaining"],0,Forward Secrecy generates unique session keys via ephemeral Diffie-Hellman exchanges that cannot be decrypted retroactively.
Technology,Hard,In QUIC protocol architecture what underlying transport protocol is utilized to prevent Head-of-Line blocking over multiple streams?,["TCP", "UDP", "SCTP", "DCCP"],1,QUIC runs over UDP and multiplexes independent streams to eliminate TCP head-of-line blocking.
Technology,Hard,What distributed hashing technique minimizes key remap overhead when nodes are added to or removed from a distributed cache cluster?,["Consistent Hashing", "Linear Hashing", "Cuckoo Hashing", "MurmurHash3"],0,Consistent hashing maps keys and nodes to a circular hash ring so that node membership changes only reassign K/N keys.
Technology,Hard,In LSM-Tree (Log-Structured Merge-tree) storage engines what in-memory data structure buffers recent writes before flushing to SSTables?,["MemTable (typically implemented via SkipList or Red-Black Tree)", "Write Buffer Queue", "B+ Tree Leaf", "WAL Ring Buffer"],0,The MemTable holds writes in volatile RAM before flushing sorted immutable SSTable files to disk.
Technology,Hard,What probabilistic data structure is used by LSM storage engines to rapidly verify if a key definitely does not exist in an SSTable?,["Bloom Filter", "HyperLogLog", "Count-Min Sketch", "Merkle Tree"],0,Bloom filters provide fast negative lookups with no false negatives preventing unnecessary disk I/O.
Technology,Hard,In relational database query optimization what does a Cost-Based Optimizer (CBO) evaluate to generate an optimal physical execution plan?,["Catalog table statistics I/O estimates and CPU operation costs", "The lexical order of SQL keywords", "The alphabetical order of column names", "The number of connected client threads"],0,CBO estimates disk I/O memory footprint and CPU overhead based on table data distribution histograms.
Technology,Hard,What database isolation level prevents dirty reads non-repeatable reads and phantom reads using Snapshot Isolation or Serial Execution?,["Read Uncommitted", "Read Committed", "Repeatable Read", "Serializable"],3,Serializable is the highest ANSI SQL isolation level preventing all concurrency anomalies.
Technology,Hard,In distributed transactional databases how does Google Spanner maintain globally consistent distributed transactions without locking?,["Hardware atomic clocks and GPS receivers via the TrueTime API", "Gossip protocols without clocks", "Centralized single-master coordinator", "Logical Lamport timestamps only"],0,The TrueTime API bounds clock drift using GPS and atomic clocks to order transactions deterministically via commit-wait.
Technology,Hard,What structural property makes B+ Trees preferable over B-Trees for disk-backed database indexing?,["All user data pointers reside strictly in leaf nodes linked sequentially for efficient range scans", "B+ Trees have fewer nodes than B-Trees", "B+ Trees never require balancing operations", "Internal nodes store complete table rows"],0,B+ Trees store records only at the leaf level linked sequentially enabling compact internal nodes and fast range traversals.
Technology,Hard,In database recovery systems what does the ARIES recovery algorithm use to track transaction log sequence order?,["Log Sequence Numbers (LSN)", "System Change SCN", "Transaction Monotonic Counter", "Write Barrier Offset"],0,ARIES uses LSNs on each page and log record to coordinate analysis redo and undo phases during crash recovery.
Technology,Hard,What lock escalation anomaly occurs when two transactions hold shared locks on a row and both request an exclusive lock simultaneously?,["Deadlock", "Write Skew", "Phantom Update", "Cascading Abort"],0,Conversion deadlock happens when concurrent transactions attempt to upgrade shared locks to exclusive locks on the same resource.
