category,level,question_text,options,correct_answer_index,explanation
Mathematics,Hard,What is the limit of (sin(x) / x) as x approaches 0?,["1", "0", "Infinity", "Undefined"],0,By L'Hopital's Rule or Taylor series expansion lim(x->0) sin(x)/x = 1.
Mathematics,Hard,What is the value of the limit lim(x->infinity) (1 + 1/x)^x?,["e", "1", "Infinity", "0"],0,This is the classic limit definition of Euler's constant e approx 2.71828.
Mathematics,Hard,Using integration by parts what is the indefinite integral of x * e^x dx?,["e^x * (x - 1) + C", "e^x * (x + 1) + C", "x² * e^x + C", "(x - 1) + C"],0,Using int u dv = uv - int v du with u = x and dv = e^x dx gives x*e^x - e^x + C = e^x(x - 1) + C.
Mathematics,Hard,What is the derivative of f(x) = arctan(x) with respect to x?,["1 / (1 + x²)", "1 / sqrt(1 - x²)", "-1 / (1 + x²)", "1 / (1 - x²)"],0,The standard derivative of the inverse tangent function is d/dx(arctan(x)) = 1 / (1 + x²).
Mathematics,Hard,What theorem states that if f is continuous on [a b] and differentiable on (a b) there exists c in (a b) such that f'(c) = (f(b) - f(a)) / (b - a)?,["Mean Value Theorem", "Rolle's Theorem", "Intermediate Value Theorem", "Extreme Value Theorem"],0,The Mean Value Theorem guarantees at least one point where the instantaneous rate of change equals the average rate of change.
Mathematics,Hard,What is the gradient vector of the multivariable function f(x y) = x²y + y³ at the point (1 2)?,["(4, 13)", "(2, 7)", "(4, 7)", "(2, 13)"],0,fx = 2xy and fy = x² + 3y². At (1 2): fx = 2(1)(2) = 4 and fy = 1² + 3(2²) = 13 so grad f = (4 13).
Mathematics,Hard,What theorem relates a surface integral over a closed surface to a volume integral of the divergence over the enclosed region?,["Divergence Theorem (Gauss's Theorem)", "Stokes' Theorem", "Green's Theorem", "Fubini's Theorem"],0,Gauss's Divergence Theorem equates the outward flux of a vector field across a closed boundary surface to the volume integral of its divergence.
Mathematics,Hard,What theorem relates a line integral around a simple closed curve C to a double integral over the plane region D bounded by C?,["Green's Theorem", "Stokes' Theorem", "Divergence Theorem", "Fundamental Theorem of Line Integrals"],0,Green's Theorem gives the relationship between a line integral around a simple closed plane boundary and a double surface integral.
Mathematics,Hard,What is the radius of convergence of the geometric power series sum(x^n) from n=0 to infinity?,["R = 1", "R = 0", "R = Infinity", "R = 2"],0,The geometric series converges strictly when |x| < 1 giving a radius of convergence R = 1.
Mathematics,Hard,What is the sum of the infinite series sum(1 / n²) from n=1 to infinity (the Basel problem)?,["pi² / 6", "pi² / 8", "pi / 4", "ln(2)"],0,Solved by Leonhard Euler in 1734 the infinite sum equals pi² / 6.
Mathematics,Hard,What is the general solution to the first-order separable differential equation dy/dx = ky?,["y(x) = C * e^(kx)", "y(x) = kx + C", "y(x) = C * ln(kx)", "y(x) = k * x² + C"],0,Integrating dy/y = k dx yields ln|y| = kx + C1 so y = C * e^(kx).
