category,level,question_text,options,correct_answer_index,explanation
Space,Hard,In orbital mechanics what orbital maneuver uses aerodynamic drag from a planet's upper atmosphere to lower the apoapsis without chemical propulsion?,["Aerobraking", "Aerocapture", "Atmospheric Entry", "Gravity Assist"],0,Aerobraking uses repeated shallow atmospheric passes at periapsis to gradually circularize an elliptical orbit.
Space,Hard,What orbital capture technique inserts a spacecraft directly from an interplanetary hyperbolic trajectory into an elliptical closed orbit in a single atmospheric pass?,["Aerocapture", "Aerobraking", "Direct Insertion", "Ballistic Capture"],0,Aerocapture executes a single pass through a planetary atmosphere to shed excess hyperbolic velocity and enter orbit.
Space,Hard,In three-body orbital mechanics what low-energy trajectories exploit chaotic manifolds around Lagrange points to minimize delta-v requirements?,["Interplanetary Superhighway (Weak Stability Boundary / Low-Energy Transfers)", "Hohmann Transfer Network", "Bi-elliptic Grid", "Keplerian Resonant Lattice"],0,Weak Stability Boundary transfers use invariant manifold tubes connecting Sun-planet Lagrange points to achieve orbital insertion with minimal fuel.
Space,Hard,What perturbation effect causes the line of nodes of an inclined Low Earth Orbit to rotate over time due to Earth's equatorial oblateness?,["Nodal Precession (driven by the J2 gravitational harmonic)", "Apsidal Precession", "Lense-Thirring Precession", "Geodetic Precession"],0,Earth's non-spherical J2 gravitational oblateness exerts torque on inclined orbits driving continuous nodal precession utilized by Sun-Synchronous satellites.
Space,Hard,What high-inclination highly elliptical orbit with an orbital period of half a sidereal day (approx 12 hours) provides prolonged communications over high northern latitudes?,["Molniya Orbit", "Tundra Orbit", "Geostationary Orbit", "Halo Orbit"],0,Molniya orbits have a critical inclination of 63.4 degrees to freeze apsidal drift giving high dwell times at apogee over northern territories.
Space,Hard,What type of periodic three-dimensional orbit traverses the vicinity of the collinear Lagrange points L1 L2 or L3 outside the orbital plane?,["Halo Orbit (and Lissajous Orbit)", "Keplerian Orbit", "Geostationary Transfer Orbit", "Graveyard Orbit"],0,Halo and Lissajous orbits are 3D closed curves around Lagrange points utilized by observatories like JWST and SOHO.
Space,Hard,What orbital parameter defines the angle between the ascending node and the orbit's periapsis measured in the orbital plane?,["Argument of Periapsis (omega)", "Longitude of Ascending Node (Omega)", "True Anomaly (nu)", "Inclination (i)"],0,The argument of periapsis orientates the elliptical semi-major axis relative to the nodal line.
Space,Hard,In multi-body dynamics what radius around a celestial body defines the region where its gravitational attraction dominates over that of a heavier primary body?,["Hill Sphere (or Sphere of Influence)", "Roche Limit", "Schwarzschild Radius", "Lagrangian Radius"],0,The Hill sphere approximates the gravitational boundary where a body can retain its own natural satellites against the tidal pull of a central star.
Space,Hard,What orbital transfer technique uses three impulsive engine burns to transition between two circular orbits when the ratio of final to initial radius exceeds 11.94?,["Bi-elliptic Transfer", "Hohmann Transfer", "Continuous Low-Thrust Spiral", "Direct Parabolic Insertion"],0,A bi-elliptic transfer is more fuel-efficient than a Hohmann transfer when transferring between orbits with an extreme radius ratio (> 11.94).
Space,Hard,What low-thrust propulsion parameter measures the mass flow rate of xenon ions accelerated electrostatically through a potential difference?,["Ion Thruster Mass Flow Rate / Specific Impulse (Isp ~ 3000-5000 s)", "Chemical Volumetric Expansion", "Detonation Velocity", "Thermal Convective Index"],0,Electrostatic and Hall-effect ion thrusters achieve specific impulses exceeding 3 000 seconds reducing propellant mass for deep-space probes.
Space,Hard,What structural boundary inside a low-mass main-sequence star separates the inner radiative core from the outer convective zone?,["Tachocline", "Photosphere", "Chromosphere", "Heliopause"],0,The tachocline is the shear layer between the uniformly rotating radiative zone and the differentially rotating convective envelope in solar-type stars.
Space,Hard,What core temperature is required to initiate the CNO (Carbon-Nitrogen-Oxygen) cycle in massive stars where it surpasses the proton-proton chain?,["Approximately 17 million Kelvin (~1.7 x 10^7 K)", "5 million Kelvin", "50 million Kelvin", "100 million Kelvin"],0,Above ~17 million K the CNO catalytic cycle's temperature sensitivity causes it to dominate stellar energy production over the p-p chain.
Space,Hard,What sudden explosive runaway thermonuclear ignition occurs in the degenerate helium cores of low-mass stars (< 2 M_sun) on the red giant branch?,["The Helium Core Flash", "Carbon Detonation", "Silicon Burning Catastrophe", "Pair-Instability Supernova"],0,In degenerate electron gas pressure is independent of temperature preventing thermal expansion and causing explosive runaway helium ignition.
