category,level,question_text,options,correct_answer_index,explanation
History,Hard,Which 1258 BC treaty between Ramesses II and Hattusili III is considered the earliest recorded peace treaty in surviving history?,["Treaty of Kadesh (Eternal Treaty)", "Treaty of Lutatius", "Peace of Callias", "Treaty of Apamea"],0,The Treaty of Kadesh was signed between the Egyptian Empire and Hittite Empire following the Battle of Kadesh.
History,Hard,In 449 BC what treaty allegedly ended the Greco-Persian Wars between the Delian League and the Achaemenid Empire?,["Peace of Callias", "Peace of Nicias", "Peace of Antalcidas", "Treaty of Phoenice"],0,The Peace of Callias was an agreement negotiated by the Athenian diplomat Callias that established terms of peace with Persia.
History,Hard,What Spartan-dominated peace treaty in 387 BC also known as the King's Peace ended the Corinthian War under Persian arbitration?,["Peace of Antalcidas", "Peace of Philocrates", "Treaty of Brundisium", "Peace of Nicias"],0,The Peace of Antalcidas enforced Persian sovereignty over Greek cities in Asia Minor and autonomy for mainland Greek poleis.
History,Hard,Which decisive battle in 338 BC saw Philip II of Macedon defeat the allied forces of Athens and Thebes securing Macedonian hegemony?,["Battle of Chaeronea", "Battle of Leuctra", "Battle of Mantinea", "Battle of Gaugamela"],0,The Battle of Chaeronea established Macedonian dominance over the southern Greek city-states and led to the League of Corinth.
History,Hard,Which Roman commander earned the cognomen 'Africanus' after decisively defeating Hannibal at the Battle of Zama in 202 BC?,["Publius Cornelius Scipio Africanus", "Lucius Cornelius Sulla", "Marcus Licinius Crassus", "Gaius Marius"],0,Scipio Africanus defeated Hannibal at Zama in North Africa bringing an end to the Second Punic War.
History,Hard,Which Roman legislative reform bill introduced by the Gracchi brothers (Tiberius and Gaius) in 133 BC sought to redistribute public land to poor citizens?,["Lex Sempronia Agraria", "Lex Hortensia", "Lex Canuleia", "Lex Claudia"],0,The Lex Sempronia Agraria was Tiberius Gracchus' landmark agrarian reform bill that challenged senatorial land monopolies.
History,Hard,Which Roman general instituted military reforms in 107 BC that eliminated property qualifications for legionary enlistment?,["Gaius Marius", "Lucius Cornelius Sulla", "Gnaeus Pompeius Magnus", "Julius Caesar"],0,The Marian reforms created a professional standing army composed of landless citizens armed at state expense.
History,Hard,What naval battle in 31 BC off the coast of Greece saw Octavian defeat the combined fleets of Mark Antony and Cleopatra VII?,["Battle of Actium", "Battle of Naulochus", "Battle of Philippi", "Battle of Pharsalus"],0,The Battle of Actium enabled Octavian to become the undisputed master of the Roman world establishing the Roman Empire.
History,Hard,In which 9 AD battle were three Roman legions under Publius Quinctilius Varus ambushed and annihilated by Germanic tribes led by Arminius?,["Battle of the Teutoburg Forest", "Battle of Idistaviso", "Battle of Adrianople", "Battle of the Catalaunian Plains"],0,The Battle of the Teutoburg Forest halted Roman imperial expansion east of the Rhine River.
History,Hard,Which Sasanian king of kings captured Roman Emperor Valerian alive following the Battle of Edessa in 260 AD?,["Shapur I", "Ardashir I", "Khosrow I", "Shapur II"],0,Shapur I defeated Roman forces at Edessa making Valerian the first Roman emperor to be captured as a prisoner of war.
History,Hard,Which Roman emperor promulgated the 'Corpus Juris Civilis' (Body of Civil Law) in the 6th century AD?,["Emperor Justinian I", "Emperor Theodosius I", "Emperor Heraclius", "Emperor Maurice"],0,Justinian I commissioned the codification of Roman law which formed the basis for modern civil law systems.
History,Hard,Which battle in 732 AD saw Frankish forces under Charles Martel halt the northward advance of the Umayyad Caliphate into Western Europe?,["Battle of Tours (Poitiers)", "Battle of Roncevaux Pass", "Battle of Vouillé", "Battle of Tolbiac"],0,Charles Martel's victory at Tours-Poitiers checked Arab-Berber expansion into Western Europe north of the Pyrenees.
History,Hard,What 843 AD treaty divided the Carolingian Empire among the three surviving sons of Louis the Pious?,["Treaty of Verdun", "Treaty of Meerssen", "Treaty of Ribemont", "Treaty of Saint-Clair-sur-Epte"],0,The Treaty of Verdun partitioned Charlemagne's empire into West Francia Middle Francia and East Francia.
History,Hard,What document issued by Holy Roman Emperor Charles IV in 1356 established the constitutional structure for electing the Emperor via seven Prince-Electors?,["The Golden Bull of 1356", "The Concordat of Worms", "The Edict of Restitution", "The Dictatus Papae"],0,The Golden Bull codified the electoral college of three ecclesiastical and four secular princes to elect Holy Roman Emperors.
History,Hard,Which Byzantine emperor was overthrown in 1204 when the Fourth Crusade sacked Constantinople instead of sailing to Egypt?,["Alexios V Doukas", "Alexios IV Angelos", "Isaac II Angelos", "Constantine XI Palaiologos"],0,The Fourth Crusade was diverted to Constantinople sacking the Christian Byzantine capital and creating the Latin Empire.
History,Hard,Which major battle in 1410 saw the allied forces of Poland and Lithuania decisively defeat the Teutonic Order?,["Battle of Grunwald (Tannenberg)", "Battle of Legnica", "Battle of Lake Peipus", "Battle of Kulikovo"],0,The Battle of Grunwald shifted the balance of power in Eastern Europe away from the Teutonic Knights toward the Polish-Lithuanian union.
History,Hard,What 1494 agreement between the Catholic Monarchs of Spain and King John II of Portugal established boundary lines for maritime exploration?,["Treaty of Tordesillas", "Treaty of Alcáçovas", "Treaty of Zaragoza", "Treaty of Cateau-Cambrésis"],0,The Treaty of Tordesillas divided newly discovered lands along a meridian 370 leagues west of the Cape Verde islands.
