category,level,question_text,options,correct_answer_index,explanation
General Knowledge,Medium,Who wrote the epic Russian historical novel 'War and Peace'?,["Leo Tolstoy", "Fyodor Dostoevsky", "Anton Chekhov", "Alexander Pushkin"],0,Leo Tolstoy published 'War and Peace' in 1869 chronicling the French invasion of Russia.
General Knowledge,Medium,Which existentialist philosopher wrote 'The Myth of Sisyphus' and 'The Stranger'?,["Albert Camus", "Jean-Paul Sartre", "Friedrich Nietzsche", "Søren Kierkegaard"],0,Albert Camus explored the concept of the Absurd in his landmark philosophical essays and fiction.
General Knowledge,Medium,What ancient Greek epic poem attributed to Homer describes the Greek siege of the city of Troy?,["The Iliad", "The Odyssey", "The Aeneid", "The Theogony"],0,The Iliad recounts the events during the final weeks of the Trojan War and the wrath of Achilles.
General Knowledge,Medium,Which Spanish author wrote 'Don Quixote' widely considered one of the earliest modern novels?,["Miguel de Cervantes", "Gabriel García Márquez", "Federico García Lorca", "Jorge Luis Borges"],0,Miguel de Cervantes published 'Don Quixote' in two parts in 1605 and 1615.
General Knowledge,Medium,In George Orwell's dystopian novel '1984' what is the name of the omnipresent totalitarian leader?,["Big Brother", "Emmanuel Goldstein", "O'Brien", "The Commander"],0,Big Brother represents the inescapable surveillance and authority of the Party in Oceania.
General Knowledge,Medium,Who wrote the foundational philosophical dialogue 'The Republic' featuring the Allegory of the Cave?,["Plato", "Aristotle", "Socrates", "Epicurus"],0,Plato wrote 'The Republic' to examine justice the ideal city-state and the nature of knowledge.
General Knowledge,Medium,Which British author wrote the gothic horror novel 'Frankenstein; or, The Modern Prometheus' in 1818?,["Mary Shelley", "Bram Stoker", "Jane Austen", "Charlotte Brontë"],0,Mary Shelley published 'Frankenstein' anonymously at age 20 pioneering early science fiction.
General Knowledge,Medium,Which Colombian author was awarded the 1982 Nobel Prize in Literature for masterpieces like 'One Hundred Years of Solitude'?,["Gabriel García Márquez", "Mario Vargas Llosa", "Pablo Neruda", "Octavio Paz"],0,García Márquez popularized magical realism through his chronicles of the fictional town of Macondo.
General Knowledge,Medium,Who wrote the 14th-century Italian narrative poem 'The Divine Comedy' divided into Inferno Purgatorio and Paradiso?,["Dante Alighieri", "Giovanni Boccaccio", "Petrarch", "Niccolò Machiavelli"],0,Dante Alighieri composed 'The Divine Comedy' in vernacular Italian depicting his journey through the afterlife.
General Knowledge,Medium,Which German philosopher authored 'Thus Spoke Zarathustra' and introduced the concept of the Übermensch?,["Friedrich Nietzsche", "Arthur Schopenhauer", "Immanuel Kant", "Georg Wilhelm Friedrich Hegel"],0,Nietzsche critiqued traditional morality and declared the death of God in his 1883 philosophical work.
General Knowledge,Medium,What architectural order of classical Greek columns is characterized by scroll-like volutes on the capital?,["Ionic Order", "Doric Order", "Corinthian Order", "Composite Order"],0,The Ionic order features twin spiral volute ornaments on its capital intermediate in detail between Doric and Corinthian.
General Knowledge,Medium,Which Spanish artist painted the monumental anti-war masterpiece 'Guernica' following the 1937 bombing?,["Pablo Picasso", "Salvador Dalí", "Joan Miró", "Francisco Goya"],0,Pablo Picasso painted 'Guernica' in cubist black-and-white tones to protest the aerial bombing of the Basque town.
General Knowledge,Medium,What art movement founded in Switzerland during WWI rejected logic and reason in favor of nonsense and anti-bourgeois protest?,["Dadaism", "Surrealism", "Cubism", "Futurism"],0,Dada emerged in Zurich in 1916 led by artists like Tristan Tzara and Marcel Duchamp as an anti-art reaction to the war.
General Knowledge,Medium,Which Renaissance master painted 'The School of Athens' fresco in the Apostolic Palace in the Vatican?,["Raphael (Raffaello Sanzio)", "Michelangelo", "Leonardo da Vinci", "Titian"],0,Raphael depicted great ancient philosophers like Plato and Aristotle gathered in a grand classical hall.
General Knowledge,Medium,What French impressionist painter created the famous series of approximately 250 oil paintings of 'Water Lilies' (Nymphéas)?,["Claude Monet", "Pierre-Auguste Renoir", "Édouard Manet", "Edgar Degas"],0,Monet painted water lilies in his flower garden at Giverny during the last thirty years of his life.
