category,level,question_text,options,correct_answer_index,explanation
Sports,Medium,Which football club won six trophies in a single calendar year (the Sextuple) in 2009 under Pep Guardiola?,["Real Madrid", "FC Barcelona", "Bayern Munich", "Manchester United"],1,FC Barcelona won La Liga Copa del Rey Champions League Supercopa de España UEFA Super Cup and FIFA Club World Cup in 2009.
Sports,Medium,Who scored the famous 'Hand of God' goal against England in the 1986 FIFA World Cup quarterfinals?,["Diego Maradona", "Pelé", "Mario Kempes", "Zico"],0,Diego Maradona scored with his hand past Peter Shilton before scoring the 'Goal of the Century' in the same match.
Sports,Medium,Which nation hosted and won the 1998 FIFA World Cup defeating Brazil 3-0 in the final?,["Germany", "Italy", "France", "Argentina"],2,France won their first World Cup title on home soil at the Stade de France with two goals from Zinedine Zidane.
Sports,Medium,In association football what is the offside rule condition?,["A player is closer to the opponent's goal line than both the ball and the second-last opponent when the ball is played to them", "A player enters the penalty box before a corner kick", "A goalkeeper holds the ball for more than 6 seconds", "A throw-in is taken with only one foot on the ground"],0,A player is in an offside position if nearer to the opponent's goal line than both the ball and second-last opponent at the moment of the pass.
Sports,Medium,Which player has won the most Ballon d'Or awards in football history?,["Cristiano Ronaldo", "Lionel Messi", "Michel Platini", "Johan Cruyff"],1,Lionel Messi has won a record 8 Ballon d'Or awards.
Sports,Medium,What major European football competition is ranked directly below the UEFA Champions League?,["UEFA Europa League", "UEFA Conference League", "UEFA Super Cup", "Intertoto Cup"],0,The UEFA Europa League is the second-tier annual club competition organized by UEFA.
Sports,Medium,Which English football club went an entire 38-game Premier League season undefeated in 2003-2004 ('The Invincibles')?,["Manchester United", "Chelsea", "Arsenal", "Liverpool"],2,Arsenal won 26 matches and drew 12 under Arsène Wenger to finish the season unbeaten.
Sports,Medium,Which country won the inaugural FIFA World Cup in 1930 as the host nation?,["Argentina", "Uruguay", "Brazil", "Italy"],1,Uruguay defeated Argentina 4-2 in Montevideo to win the first FIFA World Cup.
Sports,Medium,What is the maximum number of substitutions allowed in regular play for most top-flight European football matches (post-2020 rules)?,["3", "4", "5", "6"],2,Following rule changes initiated during the pandemic IFAB permanently codified 5 substitutions per team in 3 stoppage windows.
Sports,Medium,Which goalkeeper famously made the 'Scorpion Kick' save against England at Wembley Stadium in 1995?,["José René Higuita", "Jorge Campos", "José Luis Chilavert", "Fabien Barthez"],0,Colombian goalkeeper René Higuita executed his iconic acrobatic scorpion kick clearance during a friendly match at Wembley.
